,grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells,transform_type
0,grid_size11_complexity0.00_0000_StartGoalSwap,11,0.0,0,80,0,0.0,64,StartGoalSwap
1,grid_size11_complexity0.00_0001_RotateEnv,11,0.0,1,80,1,0.0125,64,RotateEnv
2,grid_size11_complexity0.00_0001_StartGoalSwap,11,0.0,1,80,0,0.0,64,StartGoalSwap
3,grid_size11_complexity0.00_0001_TransposeEnv,11,0.0,1,80,1,0.0125,64,TransposeEnv
4,grid_size11_complexity0.00_0002_ReflectEnv,11,0.0,2,80,1,0.0125,64,ReflectEnv
5,grid_size11_complexity0.00_0002_RotateEnv,11,0.0,2,80,0,0.0,64,RotateEnv
6,grid_size11_complexity0.00_0002_TransposeEnv,11,0.0,2,80,0,0.0,64,TransposeEnv
7,grid_size11_complexity0.00_0003_ReflectEnv,11,0.0,3,80,0,0.0,64,ReflectEnv
8,grid_size11_complexity0.00_0003_RotateEnv,11,0.0,3,80,0,0.0,64,RotateEnv
9,grid_size11_complexity0.00_0003_StartGoalSwap,11,0.0,3,80,0,0.0,64,StartGoalSwap
10,grid_size11_complexity0.00_0003_TransposeEnv,11,0.0,3,80,0,0.0,64,TransposeEnv
11,grid_size11_complexity0.00_0004_StartGoalSwap,11,0.0,4,80,0,0.0,64,StartGoalSwap
12,grid_size11_complexity0.00_0004_TransposeEnv,11,0.0,4,80,0,0.0,64,TransposeEnv
13,grid_size11_complexity0.00_0005_RotateEnv,11,0.0,5,80,0,0.0,64,RotateEnv
14,grid_size11_complexity0.00_0005_StartGoalSwap,11,0.0,5,80,0,0.0,64,StartGoalSwap
15,grid_size11_complexity0.00_0005_TransposeEnv,11,0.0,5,80,0,0.0,64,TransposeEnv
16,grid_size11_complexity0.00_0006_ReflectEnv,11,0.0,6,80,0,0.0,64,ReflectEnv
17,grid_size11_complexity0.00_0006_RotateEnv,11,0.0,6,80,1,0.0125,64,RotateEnv
18,grid_size11_complexity0.00_0006_TransposeEnv,11,0.0,6,80,0,0.0,64,TransposeEnv
19,grid_size11_complexity0.00_0007_ReflectEnv,11,0.0,7,80,0,0.0,64,ReflectEnv
20,grid_size11_complexity0.00_0007_RotateEnv,11,0.0,7,80,1,0.0125,64,RotateEnv
21,grid_size11_complexity0.00_0008_RotateEnv,11,0.0,8,80,0,0.0,64,RotateEnv
22,grid_size11_complexity0.00_0008_TransposeEnv,11,0.0,8,80,0,0.0,64,TransposeEnv
23,grid_size11_complexity0.00_0009_ReflectEnv,11,0.0,9,80,0,0.0,64,ReflectEnv
24,grid_size11_complexity0.00_0009_RotateEnv,11,0.0,9,80,2,0.025,64,RotateEnv
25,grid_size11_complexity0.00_0009_StartGoalSwap,11,0.0,9,80,0,0.0,64,StartGoalSwap
